kommune_navn,fylke,målform,kommune_nr,from_url,pdf_link
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/kulturprisen.544732.no.html,https://www.bardu.kommune.no/getfile.php/5269458.181.qsabajwmiiznik/Prinsipper+for+fordeling+av+kulturmidler_vedtatt+6.des+2024.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/kulturprisen.544732.no.html,https://www.bardu.kommune.no/getfile.php/4807188.181.jsmq7qwnkwlaup/Kulturpris%2B2019%2Bvedtekter%2Bvedtatt%2B2018+%282%29.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/kulturprisen.544732.no.html,https://www.bardu.kommune.no/getfile.php/4807285.181.lmzwj7lwsajaas/kriterier%2BTT-kort.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/vinterferieaktiviteter-for-barn.544530.no.html,https://www.bardu.kommune.no/getfile.php/4988300.181.wlwiusmklilzal/Invitasjon+-+kul+vinterferie+2022.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/planprogram.581886.no.html,https://bardu.custompublish.com/getfile.php/5081281.181.ztjt7atqpswmka/Planprogram+idrett+og+friluftsliv+jan+2021.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/fylkeslekene.574896.no.html,https://www.bardu.kommune.no/getfile.php/5198056.181.upbbbjq7kknmli/Programhefte+fylkeslekene+2023.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/program-2024.555885.no.html,https://www.bardu.kommune.no/getfile.php/5307496.181.ubtkbkbmksiwbj/Program+17+mai+2024.pdf
Bjørnafjorden,Vestland,nynorsk,4624,https://bjornafjorden.kommune.no/brann-samfunnssikkerheit-og-beredskap/samfunnssikkerheit-og-beredskap/kommuneros/,https://bjornafjorden.kommune.no/_f/p1/i01fc0c2b-b428-48b7-afb0-35e6fa96bbc6/kommuneros-bjornafjorden-2024-rapport.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.534148.no.html,https://www.bardu.kommune.no/getfile.php/5302581.181.s7mmlztzaj7alt/Stenging+Altevatnet+og+Leina.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/gjerder-i-utmark.534145.no.html,https://bardu.custompublish.com/getfile.php/4473203.181.iqtpqzqlsat7j7/Gjerder+i+utmark.pdf
